Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
WNFM8,Woodhawk,SOILT4 [K],0.1,Acclima,TDR-310N
WIEM8,Winnett SW,SOILT4 [K],0.1,Acclima,TDR-310N
KEEM8,Absarokee,T [K],2,Vaisala,HMP155E
ASAM8,Ashland E,T [K],2,Vaisala,HMP155E
BLWM8,Benton Lake W,T [K],2,Vaisala,HMP155E
BSWM8,Big Sandy NW,T [K],2,Vaisala,HMP155E
BTSM8,Big Timber SE,T [K],2,Vaisala,HMP155E
BNWM8,Bowmans Corner NW,T [K],2,Vaisala,HMP155E
BZNM8,Bozeman,T [K],2,Vaisala,HMP155E
BRYM8,Brady NE,T [K],2,Vaisala,HMP155E
BDVM8,Broadview,T [K],2,Vaisala,HMP155E
BSEM8,Big Sandy SE,T [K],2,Vaisala,HMP155E
BUFM8,Buffalo Lake E,T [K],2,Vaisala,HMP155E
BUSM8,Busby S,T [K],2,Vaisala,HMP155E
BYUM8,Bynum W,T [K],2,Vaisala,HMP155E
CRNM8,Carter N,T [K],2,Vaisala,HMP155E
CHSM8,Chester SW,T [K],2,Vaisala,HMP155E
CSTM8,Christina W,T [K],2,Vaisala,HMP155E
CFCM8,Coffee Creek N,T [K],2,Vaisala,HMP155E
CNNM8,Conrad N,T [K],2,Vaisala,HMP155E
COOM8,Cooney Reservoir NW,T [K],2,Vaisala,HMP155E
CROM8,Crow Agency,T [K],2,Vaisala,HMP155E
DOGM8,Dog Gun Lake E,T [K],2,Vaisala,HMP155E
DRYM8,Dry Lake,T [K],2,Vaisala,HMP155E
DYRM8,Dupuyer N,T [K],2,Vaisala,HMP155E
FRGM8,Forestgrove N,T [K],2,Vaisala,HMP155E
FOXM8,Fox Crossing SW,T [K],2,Vaisala,HMP155E
HWTM8,Harlowton E,T [K],2,Vaisala,HMP155E
HAEM8,Havre,T [K],2,Vaisala,HMP155E
HIWM8,Highwood Bench,T [K],2,Vaisala,HMP155E
HOGM8,Hogeland SW,T [K],2,Vaisala,HMP155E
HNTM8,Huntley E,T [K],2,Vaisala,HMP155E
IGMM8,Ingomar,T [K],2,Vaisala,HMP155E
INNM8,Inverness N,T [K],2,Vaisala,HMP155E
ISSM8,Inverness S,T [K],2,Vaisala,HMP155E
JGPM8,Judith Gap,T [K],2,Vaisala,HMP155E
LTBM8,Lake Thibadeau W,T [K],2,Vaisala,HMP155E
LMDM8,Lame Deer E,T [K],2,Vaisala,HMP155E
LVAM8,Lavina N,T [K],2,Vaisala,HMP155E
LGGM8,Lodge Grass W,T [K],2,Vaisala,HMP155E
LOAM8,Loma N,T [K],2,Vaisala,HMP155E
LORM8,Loring SW,T [K],2,Vaisala,HMP155E
MTRM8,Matador Ranch,T [K],2,Vaisala,HMP155E
MLVM8,Melville,T [K],2,Vaisala,HMP155E
RADM8,Midway Colony,T [K],2,Vaisala,HMP155E
MCYM8,Miles City,T [K],2,Vaisala,HMP155E
MINM8,Mission Lake S,T [K],2,Vaisala,HMP155E
MCIM8,Moccasin,T [K],2,Vaisala,HMP155E
MOTM8,Molt S,T [K],2,Vaisala,HMP155E
MOYM8,Mosby S,T [K],2,Vaisala,HMP155E
MOBM8,Mosby NW,T [K],2,Vaisala,HMP155E
MTLM8,Mt Lebanon SE,T [K],2,Vaisala,HMP155E
MSSM8,Musselshell,T [K],2,Vaisala,HMP155E
OILM8,Oilmont,T [K],2,Vaisala,HMP155E
OTRM8,Otter E,T [K],2,Vaisala,HMP155E
RAPM8,Rapelje SW,T [K],2,Vaisala,HMP155E
RMYM8,Rothiemay W,T [K],2,Vaisala,HMP155E
ROUM8,Roundup,T [K],2,Vaisala,HMP155E
RYOM8,Roy E,T [K],2,Vaisala,HMP155E
RGTM8,Ryegate S,T [K],2,Vaisala,HMP155E
SASM8,Saco S,T [K],2,Vaisala,HMP155E
SDSM8,Sand Springs NW,T [K],2,Vaisala,HMP155E
SVYM8,Savoy SW,T [K],2,Vaisala,HMP155E
SCYM8,Scobey NW,T [K],2,Vaisala,HMP155E
SIYM8,Sidney,T [K],2,Vaisala,HMP155E
SBSM8,Sunburst NW,T [K],2,Vaisala,HMP155E
SURM8,Sun River SE,T [K],2,Vaisala,HMP155E
TTNM8,Toston,T [K],2,Vaisala,HMP155E
TRNM8,Turner N,T [K],2,Vaisala,HMP155E
TWOM8,Twodot E,T [K],2,Vaisala,HMP155E
VLTM8,Dovetail,T [K],2,Vaisala,HMP155E
WRHM8,War Horse NW,T [K],2,Vaisala,HMP155E
WNFM8,Woodhawk,T [K],2,Vaisala,HMP155E
