Location,Time,Agrimet,Hydromet
Absarokee,2021-11-22T18:45:00Z,0,0
Absarokee,2021-11-22T19:00:00Z,0,0
Absarokee,2021-11-22T19:15:00Z,0,0
Absarokee,2021-11-22T19:30:00Z,0,0
Absarokee,2021-11-22T19:45:00Z,0,0
Absarokee,2021-11-22T20:00:00Z,0,0
Absarokee,2021-11-22T20:15:00Z,0,0
Absarokee,2021-11-22T20:30:00Z,0,0
Absarokee,2021-11-22T20:45:00Z,0,0
Absarokee,2021-11-22T21:00:00Z,0,0
Absarokee,2021-11-22T21:15:00Z,0,0
Absarokee,2021-11-22T21:30:00Z,0,0
Absarokee,2021-11-22T21:45:00Z,0,0
Absarokee,2021-11-22T22:00:00Z,0,0
Absarokee,2021-11-22T22:15:00Z,0,0
Absarokee,2021-11-22T22:30:00Z,0,0
Absarokee,2021-11-22T22:45:00Z,0,0
Absarokee,2021-11-22T23:00:00Z,0,0
Absarokee,2021-11-22T23:15:00Z,0,0
Absarokee,2021-11-22T23:30:00Z,0,0
Absarokee,2021-11-22T23:45:00Z,0,0
Absarokee,2021-11-23T00:00:00Z,0,0
Absarokee,2021-11-23T00:15:00Z,0,0
Absarokee,2021-11-23T00:30:00Z,0,0
Absarokee,2021-11-23T00:45:00Z,0,0
Absarokee,2021-11-23T01:00:00Z,0,0
Absarokee,2021-11-23T01:15:00Z,0,0
Absarokee,2021-11-23T01:30:00Z,0,0
Absarokee,2021-11-23T01:45:00Z,0,0
Absarokee,2021-11-23T02:00:00Z,0,0
Absarokee,2021-11-23T02:15:00Z,0,0
Absarokee,2021-11-23T02:30:00Z,0,0
Absarokee,2021-11-23T02:45:00Z,0,0
Absarokee,2021-11-23T03:00:00Z,0,0
Absarokee,2021-11-23T03:15:00Z,0,0
Absarokee,2021-11-23T03:30:00Z,0,0
Absarokee,2021-11-23T03:45:00Z,0,0
Absarokee,2021-11-23T04:00:00Z,0,0
Absarokee,2021-11-23T04:15:00Z,0,0
Absarokee,2021-11-23T04:30:00Z,0,0
Absarokee,2021-11-23T04:45:00Z,0,0
Absarokee,2021-11-23T05:00:00Z,0,0
Absarokee,2021-11-23T05:15:00Z,0,0
Absarokee,2021-11-23T05:30:00Z,0,0
Absarokee,2021-11-23T05:45:00Z,0,0
Absarokee,2021-11-23T06:00:00Z,0,0
